Price,Close,High,Low,Open,Volume
Ticker,SUNPHARMA.NS,SUNPHARMA.NS,SUNPHARMA.NS,SUNPHARMA.NS,SUNPHARMA.NS
Date,,,,,
2014-06-10,556.725341796875,562.2103205337901,550.4175939309871,551.24036305996,2676226
2014-06-11,561.2050170898438,566.7813923412067,553.8002589702982,564.9530652691383,3687253
2014-06-12,577.0199584960938,579.0311291675793,563.1703604454684,564.0388268486221,2985927
2014-06-13,575.6487426757812,583.6933699751042,571.3521632489274,575.9229805549188,3851552
2014-06-16,589.9552001953125,592.6519928009023,571.3520013498005,571.3520013498005,2457802
2014-06-17,594.0234375,598.1828703103057,581.4993862567034,590.9610120606606,2844843
2014-06-18,578.9853515625,594.8461196053073,576.7913929389323,590.5952375907316,1600870
2014-06-19,587.3956909179688,589.6354024430591,574.2774682363217,579.1225231746945,1386711
2014-06-20,577.111328125,587.48711592054,571.3978070248473,587.3956661052748,1819652
2014-06-23,579.5338745117188,583.1905279597983,574.6888198522341,578.6197111496989,1271054
2014-06-24,573.9119262695312,582.3222429788424,572.3121398877212,577.5685808565255,1371690
2014-06-25,578.4825439453125,581.7735654102938,571.3520811320054,574.0031771068985,1118293
2014-06-26,580.630859375,586.2072333504192,572.4033894332398,576.0142899374645,1832085
2014-06-27,604.1249389648438,617.0146780551232,594.7547628989381,595.1204506248333,4533478
2014-06-30,628.8987426757812,630.6813725230721,607.2330582307941,610.6611710924658,2956224
2014-07-01,620.9454345703125,628.9443636133603,619.7113364078256,627.6188156412921,1231691
2014-07-02,633.880859375,636.6690463020541,622.5452120500681,622.5452120500681,1901849
2014-07-03,646.1763916015625,658.1976629021771,633.8809382300673,635.3435773847403,4107204
2014-07-04,648.8731689453125,652.5298225384629,644.2109579324881,646.7249072777789,1825657
2014-07-07,661.3971557617188,676.4808503989937,646.4048551371387,654.6323249392887,2557235
2014-07-08,663.7283325195312,680.9603462717554,657.6948763333532,669.1676159670089,4496355
2014-07-09,662.219970703125,671.9100801528743,651.6613390924106,667.3392632810861,2606698
2014-07-10,663.9112548828125,676.9380850130433,651.8899823038386,659.3404372932579,1489631
2014-07-11,680.1832275390625,688.9134763483503,657.329143851868,659.1117735386897,3129956
2014-07-14,674.6526489257812,683.7942837350737,661.8543601927719,682.4230385136799,2311905
2014-07-15,676.2067260742188,683.4285839684989,670.0818197008147,673.9670144262287,1205297
2014-07-16,680.9602661132812,688.3649665425097,674.1954353586997,681.9658234272406,1970017
2014-07-17,679.223388671875,684.7997629495279,676.480898542648,677.7149967823583,842445
2014-07-18,678.5377807617188,680.9603360798492,669.4418438112156,680.9603360798492,1449855
2014-07-21,679.8633422851562,686.948108745054,677.4864839306232,686.353880207394,1201953
2014-07-22,686.1710205078125,692.7530080970216,681.5545065321114,684.7083813973685,779530
2014-07-23,684.5711059570312,690.1475350846587,678.3091102095188,687.4507424225851,1430470
2014-07-24,683.9772338867188,688.4109051398137,677.6237855476551,682.3317505245453,888943
2014-07-25,715.05859375,717.618240007366,685.6682193089638,685.6682193089638,2015432
2014-07-28,721.412109375,724.2459937534775,707.9738954916683,715.789981835245,1371299
2014-07-30,722.6005859375,731.3308366406751,713.4589504794916,717.6183834536624,2397895
2014-07-31,723.0575561523438,726.2571280689957,714.8757825205408,716.2470276276774,3352328
2014-08-01,702.8088989257812,721.9606357175231,699.4264827622474,714.9672625117856,2204427
2014-08-04,696.3182373046875,709.4364591049117,693.8499850917807,703.9057819771689,1318303
2014-08-05,707.3796997070312,712.9561304918631,697.049663395604,700.569170525124,1194951
2014-08-06,694.5811767578125,706.6481419582325,693.0270881841968,704.3627339958837,1290762
2014-08-07,693.7128295898438,698.4207931184418,683.9770234775688,690.4675608857522,1489169
2014-08-08,695.1298828125,701.4375768958682,679.4976549444514,680.2747273245615,1242359
2014-08-11,698.8778076171875,703.905705513714,693.4385250971802,698.4207259902305,819734
2014-08-12,717.8468017578125,719.4465876897783,700.2491565061883,703.4030313598563,1917318
2014-08-13,733.7073974609375,735.9014115654096,710.7619223504422,710.7619223504422,3490582
2014-08-14,744.906005859375,746.5057917700472,735.9015189091766,735.9015189091766,1775320
2014-08-18,746.14013671875,752.7678209999392,738.0955104056306,741.3864761440559,1077465
2014-08-19,740.2438354492188,747.6942897020997,734.0732323133345,743.6719483024877,1360329
2014-08-20,774.2507934570312,776.8561371336848,735.9016231769715,735.9016231769715,2512702
2014-08-21,786.1804809570312,792.9453120651027,766.9830506080805,772.4680307077807,2023695
